1.70859-0.9609022i,-0.2991113+0.3385714i,-0.489412-0.1386235i,0.7895491-0.1909903i,0.0785447-0.5014473i,-0.3672467+0.4051203i,0.2334305+0.182245i,0.7689576-1.356772i,0.03261088-0.5161191i,-0.5455257+0.9429443i,-0.8565398+0.5588008i,-0.07901619-0.3408326i,0.02360399+0.093325i,-0.890268-0.6467369i,0.01646345-0.4880281i,-0.1050198+0.01732844i,0.5484874+0.501688i,0.6044248+0.4837362i,0.8144503-1.61173i,1.625099-0.5461827i,1.247844-0.6165357i,-0.2898713-0.4687683i,0.1140206-0.7827427i,0.2394115+1.429866i,-0.1882392-0.301031i,0.5219837-1.015442i,0.3527403+0.5975325i,-0.3347555-0.1582999i,0.4408599+0.6866343i,-0.6116174-0.02617268i,0.6123832+0.0986253i,0.01887495+1.233188i,-0.7243085-0.7766409i,0.01087217-1.031084i,-0.03868763+1.619638i,-0.1972319+1.1768i,0.003925896+0.419679i,0.3353598+1.42884i,0.3285826-0.1724518i,-0.2858009+0.721852i,1.588079-0.1259601i,1.150907+0.1586512i,-0.5920402-0.3589339i,0.9265469-0.02073838i,0.4290984-0.3591695i,-0.7759047-0.7598888i,-0.2321697-0.272587i,-0.31621+0.1311589i,1.166368+0.3372694i,0.2063598-0.1525864i,-0.8254427-0.7001003i,0.2784699-0.06004575i,-0.09796523-0.2336942i,-0.1257531+0.3023419i,0.2309785-0.0009755277i,0.2220519+0.3308682i,-0.2126923-0.3039498i,-0.6732203-0.2190676i,1.445537+1.009369i,1.79978-0.4041594i,-0.003189957+1.164631i,-0.2801307+0.1919477i,0.1916384-0.8495442i,0.732892-1.311462i
-0.4520108-0.4818021i,1.700458+0.7083854i,0.1629331-0.5675288i,-1.042632+0.02134483i,0.6913677-0.1236966i,0.8383605-0.9686022i,1.0435-0.05927227i,0.4711686+0.4683298i,0.3088914-0.3874255i,-1.368225+0.3362171i,-0.1561665+0.1070436i,0.4051661-1.427364i,-0.3365316-0.294594i,1.549165+0.637065i,-0.620015+0.3226156i,-0.3556767-0.1682922i,-0.8733878-0.1732011i,-1.364214-0.9588235i,0.5765789+1.713682i,-1.407537-1.066317i,-0.587688+0.5063841i,-1.098041+0.5765522i,-0.7135399-1.196988i,0.08265235-0.2765861i,-0.2517003-0.1970348i,-0.2889454-0.375835i,-0.2463348-0.3872737i,0.04037511-1.150522i,0.7198118-0.8524953i,-0.1351344-1.453539i,0.8353072-0.5847521i,0.6003647-1.433241i,-0.6883392+0.9585744i,-0.338079+0.635513i,-0.3669927-0.5900871i,1.271832+0.3941019i,1.11493+0.3050225i,-0.6205496-0.9169647i,-0.4206378-0.2814738i,-0.3457135-0.21893i,-0.7787687+0.3291917i,-1.62279-0.6178775i,-0.2993334-1.126023i,-0.9220417-0.8049551i,0.1063881-1.408553i,-0.1945901-1.559086i,0.5950384-0.5469244i,-0.8602816+0.2195427i,-0.1366969+0.3768154i,-0.3399201-0.4255781i,0.146212+0.7962972i,-0.2044809-0.6526324i,-1.301705-0.05976938i,-0.6725739-0.7464272i,-0.460292-0.6992654i,-1.695645+0.7158171i,0.2674283+0.2710139i,0.3446412+0.3995909i,-0.5070597-0.5087811i,-0.4306117-0.3514622i,0.7880529-0.4932831i,0.153865-0.5448759i,-0.06222333+0.9621239i,-0.3416089+0.2856115i
0.27669-0.4586055i,-0.8050148-0.4411515i,0.8821064-0.6730014i,0.594124-0.6558641i,0.3239682+0.824666i,-0.1485506+0.0934012i,-0.3619544-0.06723508i,1.654337-0.6037547i,-1.491423-1.110832i,-0.7987942+1.181253i,-0.276127+0.1120691i,-0.4792407-0.7903168i,-1.106319+0.07154611i,0.7833355+0.8501086i,-0.1855828-0.1498085i,0.8223888-0.1553339i,-0.3103547+0.4341436i,0.9564715-0.6941699i,-0.8848169-0.152088i,-0.5792283+0.04316753i,-0.4772123+1.219642i,0.7816759-0.09947339i,0.479039+0.1956142i,-1.071055+0.4381871i,0.9502919-0.2688266i,0.5510022-0.04749652i,-0.06889336+0.5471306i,-0.4907968-0.4332649i,-0.476928+0.2758384i,0.6424567-0.6057302i,0.4404227+0.09720358i,0.6586624+0.8857981i,0.866461+0.005811813i,1.28586-1.221376i,-0.4902664-1.168487i,0.4727243+0.6431238i,0.8823939-1.143752i,1.111518-0.109516i,-1.085418-0.7327335i,0.4836902+0.2116187i,0.5471696+0.3172648i,0.7279695+0.5377128i,0.6941867-1.19625i,-0.137705+0.001249567i,0.4189406-0.08048732i,0.008733883-0.8244691i,1.007576+0.3521533i,-0.8219879-0.5098583i,0.1837196-0.3212444i,0.6130068-0.3857017i,0.08122526+0.09443279i,-0.4467844-0.1013697i,0.3690204-0.729531i,-0.7934687-0.2571002i,0.6646288+0.4413112i,0.02797161-1.277971i,0.5606195-1.485319i,1.197325-1.117468i,1.17016+1.661733i,-0.3983587-0.8511031i,0.1059781+0.08922985i,-0.6530411+0.9411688i,-0.9199092+0.3998628i,-0.6512529+0.3218863i
0.1811598-0.5046356i,0.3309058-0.02518552i,0.2712283-0.7479479i,-0.05808782-0.3091398i,0.5224637+0.2899166i,-0.7855026+0.1618769i,-0.8133784+1.445765i,0.4422472-0.3362903i,-0.4276681+0.2823822i,0.1886153-0.9271697i,-0.4470649+0.1549155i,0.573322+0.3084689i,0.1991327+0.7523613i,1.150606-0.1269467i,-0.2514304+0.287861i,0.7070876+0.5601332i,-0.5193616+0.5659399i,0.6911148+0.5661047i,0.78001+0.3968184i,0.2627469-0.6243708i,-1.172081+0.8325i,0.2275516+0.2955452i,-0.5434867+0.7455271i,-0.2275155-0.2380171i,-0.3929977-0.3318424i,-0.6858684-0.5002726i,-0.3616134+1.261917i,0.2987536+0.07067426i,0.5582601-0.06661566i,0.7410698-0.9256598i,1.070791-0.9075714i,0.1073718+0.8886353i,0.9306438-0.4176714i,-0.1360319+0.04584831i,0.6624104-0.9373408i,-0.8109342-0.3114525i,0.04998202+0.477529i,-1.057411-0.298056i,0.8404313-0.01666791i,-0.05601086+0.4450474i,0.2127677-1.070093i,-0.8580335-0.6286438i,0.4041002-0.3813034i,0.8057063+0.4666347i,0.1251954-0.3216242i,-0.6047873-0.7017051i,1.040273-0.124356i,0.1708248-1.02044i,0.5989407+0.2362823i,-1.085923+0.9038274i,-0.8741583-0.3605319i,-1.041583-0.1160245i,0.2929344-0.4697252i,0.1131073+0.03347237i,0.3560204-1.193298i,0.1858166+0.6855283i,0.5206054+0.7945394i,0.1678158-0.6581243i,0.5067033+0.3823092i,0.3348131-0.4447687i,-0.7413526-1.014467i,0.6041176+0.6430156i,0.0062353+0.4887096i,0.8992834-0.5378349i
0.1598002-0.8686199i,0.1387776-0.4954155i,0.01152311+0.198561i,1.267362-0.2445614i,1.523363+0.7964169i,-0.373855+0.3761261i,0.800749+0.2905332i,0.5361031+0.6609578i,0.2380621-0.02456016i,-0.9383957-0.1409315i,-0.4737754+0.5271146i,-1.128599-0.542245i,-0.0378837+0.6946027i,0.6297328+0.4308526i,-0.8246472-0.7015981i,0.5146293-1.697833i,-0.4218281-0.9179415i,-0.5723354+0.5255473i,-0.8393282+0.08029257i,0.9640895+0.367475i,-0.6104032+0.7795007i,0.6731953-0.226317i,-0.3499002+0.9128845i,0.4904854+1.739465i,0.5986024+0.929259i,-0.1043902-0.4666186i,-0.5480318-0.6694986i,0.3012554+0.2057644i,-1.190917+0.2051961i,0.132053-0.02079072i,0.8862624-0.1587642i,0.5657721+0.7056997i,-1.139301-0.4578671i,-0.3973223-0.8563719i,-0.8143101-1.761607i,0.05633554-0.2182073i,-0.2012566-1.011897i,0.8218962-0.4496381i,-0.5677869-0.47177i,0.1318911-0.165925i,1.160939+1.139828i,-0.2549829-0.559526i,0.2365328-0.656767i,-0.4460007+0.5782037i,-0.7666057-1.137552i,-0.3044219+0.5123149i,-0.889925-0.7481889i,0.1153217-0.1164899i,-0.4653348-0.1439955i,-0.002887592+0.2932779i,0.3709088+0.7039507i,-0.1798932-0.1391882i,-2.079205-0.5988795i,0.6300088-0.2804978i,0.8186111-0.1142053i,0.9470539+0.5566999i,-0.5004622-0.7465554i,-0.250804+0.3301921i,1.030848-0.02887206i,0.09586763+0.3779507i,0.8829502-1.05342i,0.4872161-0.7016393i,0.5980822-0.7195603i,0.428843-0.2942742i
-0.9806846+1.141316i,0.1435665+0.387154i,-0.7499315+0.9951524i,0.1085939-0.4955187i,1.715128-0.4368663i,-0.2205019+0.2231841i,0.9687734+0.06271922i,0.1503426-0.04590207i,0.3719235+0.2755818i,0.6891217-0.09140738i,-0.9395505+0.5278229i,-0.6786509-0.7844281i,-0.6964588+1.212486i,-0.5751052+0.01418242i,-0.4945575-0.2672586i,-0.2077315+0.916109i,-0.3014746-0.2892032i,-0.9783598+0.367873i,-0.6003018-0.1586583i,0.592738+0.8040941i,-0.4905788-0.2159302i,0.3716342-0.8400207i,-0.5775464-0.4498232i,-0.2228821+0.5430841i,0.8575035+0.7226725i,-1.173667-0.5156242i,0.09253443-0.7778521i,0.7428146-0.702678i,0.3721696+0.4103171i,-1.012801-0.3383754i,0.6564282+0.8134992i,-0.3042389+0.6558259i,0.2766907-0.2824557i,0.4506497-0.3940935i,-1.201101+0.3028734i,0.2435279+0.6833709i,0.4825808+0.8039918i,0.1103571+0.7680146i,-1.173018+0.1015557i,-0.4513999-0.5050241i,0.6965204+0.4399413i,0.5669437+0.5756732i,-0.6989336-0.1995923i,-1.416693+0.8562408i,-0.698261+0.01994791i,-0.09390091-1.381953i,0.5297158+0.02346179i,0.5911873-0.7003295i,-0.499954+1.598773i,-2.032466+0.4121868i,-0.4195274-0.6123481i,-0.3406309-0.9842274i,-0.007971191+0.8914697i,0.3799411-0.8153085i,-0.574648-0.2360803i,0.2410805-0.4911485i,0.2943766-1.353544i,0.280239-0.7602437i,-0.4111309-0.2521687i,0.7324514+0.06237841i,-0.4568827+0.6635915i,-0.4690326+0.9548849i,-0.2218356-1.45062i,-0.7231347+0.4895455i
1.121862-0.6815562i,0.2828719+0.1086371i,0.4586538-0.9246354i,-0.2110347-1.417085i,-0.324116+0.657468i,0.4682649+0.1825302i,-1.542804+0.5905743i,0.1080383+0.5908039i,-0.01246926+0.235488i,0.1511878-0.08472392i,0.5979155+1.578088i,-0.465967-0.4237232i,0.03700833+0.393544i,-0.805424-0.01214364i,-0.6172398-0.6292655i,0.3401431+0.03702607i,-1.83488+0.5109808i,0.06969672-0.0166029i,-0.05486876-0.5251372i,0.2974195-0.5390628i,-1.568434-1.681441i,0.4454932+0.6277999i,-1.857014+0.8575015i,0.769639-0.5774643i,-0.452206+0.6977628i,-0.7405366+0.04663402i,-1.08659-0.8527982i,0.113891-1.086986i,-1.544619+0.3882697i,0.5263981-0.4705196i,-0.4683141-1.081218i,-0.6011507+0.399313i,0.5119432+0.3270645i,0.7678691-0.5251454i,-0.7477586-0.602775i,0.8142442+1.194681i,0.3214349+0.5151156i,0.1025294+0.952606i,1.407891-0.3577497i,-0.2265114-0.7854442i,-0.7812294-0.9283051i,-0.4852132-0.2064714i,-0.4801977-1.043514i,0.2543171-0.4182335i,0.6247485+1.005544i,0.2382681-0.7163382i,-0.3459818-0.3194164i,-0.9052899+0.3384742i,-0.859301+0.8263372i,-0.6988287-0.401539i,0.9951294-0.5832371i,1.383689+0.1201912i,0.5718253-1.028232i,0.006307739-1.586707i,0.382093+1.047221i,0.3127388-0.6255358i,0.8262403+0.410735i,-1.065781+0.2901074i,-0.305919+0.4933335i,0.06099511-0.5590797i,0.07529885-0.4532903i,0.9726722-0.07711407i,-1.476895-0.7174581i,-0.4645555-1.239489i
-0.6251356-0.5500616i,-0.3774794-1.619143i,0.4461737-0.339054i,-0.6558504+0.8709248i,0.1759523+0.7078202i,-0.17408+1.284592i,-0.3419583+0.8755368i,0.2958207-0.3740299i,-1.36066-0.05746647i,0.7018781+0.05443201i,-0.4759961+1.167564i,1.465092+0.08030907i,0.4490657-0.2155921i,0.6690725-0.00124543i,0.501198-1.658642i,0.5319252+0.3286747i,0.5177562-0.1906813i,0.3169665-0.3950316i,-0.5434477-0.1682892i,0.8495449+1.025153i,-0.5429049+1.042988i,1.339877+0.05885356i,0.4114514-0.5115435i,-0.1864263+0.1340411i,-0.4505732+0.6863615i,0.6880932-0.2739633i,0.182578-0.1248067i,-0.1192909-0.6301258i,-1.134416+0.4572241i,0.9528976-0.6464855i,1.187601-1.332011i,-0.1975162-0.2069319i,0.006530886+0.7375914i,0.9323717+0.5956916i,0.3788565+0.8376747i,-0.8891263-0.234085i,-0.4302039-0.1044276i,-0.2796848-0.8575101i,0.3768195-0.1353778i,-0.2281826+0.9865227i,0.3035024+1.640762i,0.7144215-0.1165803i,-0.802533+0.7526723i,1.47978+0.2981323i,0.1267028+1.730654i,-2.085546-0.188949i,0.6422496-0.8529689i,-0.4856677-0.07258384i,0.1480696+0.7014582i,-0.8203234+0.1371849i,-0.1974648+0.0489357i,0.1602401-0.4382256i,0.1288738+0.2668661i,1.035692-0.1618681i,1.149906+0.09434915i,-1.295986-0.03110319i,-0.6817441-0.1535265i,-0.5340711-1.315866i,-0.7960038+0.882368i,0.5889922-1.584517i,0.01821124+0.6096835i,-1.328008-0.5295353i,0.1377-0.8534079i,-0.825493+0.2229751i
-0.8176759-0.03373855i,-0.2004312+1.295853i,0.3876606-1.380192i,-0.2919903+0.5331072i,-1.100233+1.838594i,0.1073425+0.4120423i,-0.09810461-0.7293633i,-0.3208617-0.3028638i,-0.5329707-1.126368i,-0.051148+1.025159i,-1.127994+0.7702102i,-0.2488004-1.594121i,-0.4690065-0.5047222i,0.08134869+1.208732i,-1.236423-0.191525i,0.7842167+0.5657086i,0.5716153-0.222949i,0.6246093-0.2434674i,0.5937039+0.03220091i,1.530038+0.389411i,-0.5180853+0.8341476i,-0.6744983-0.2336678i,-0.09681413-1.521666i,-0.459852+0.9466063i,-1.434821-0.8456759i,0.7033061+0.08553049i,-0.8842028-0.62775i,1.316774+0.5076535i,-0.2552707-0.1527084i,0.5318134+1.018278i,1.443756+0.913693i,-1.680247-0.4712758i,-0.08019087+1.032132i,-0.4837721-0.05993796i,-0.6313329-0.803851i,-0.490273+0.5417808i,0.9528644-0.7694308i,0.2155306+0.771014i,0.8597769-0.335218i,-0.5865316-0.1770674i,0.8466945-0.9814192i,0.446011+0.6760544i,-0.188813-0.4319121i,0.5957192-0.6612522i,1.758777+0.3034895i,-0.5654266-0.4937646i,-0.8795128+0.4450224i,1.310394-0.9762948i,-1.264064-1.046612i,-0.2068756-0.1765049i,-0.5916117+0.887805i,-0.9034589-0.141775i,0.5285135-0.5242763i,0.7386315+0.5426459i,-0.2641381-1.21726i,-0.4854755-0.4516478i,-0.454312-0.3162038i,0.4322646-1.849666i,1.854372-1.102054i,0.02904912+1.168499i,-0.9858631-0.2107242i,0.1962162+1.081689i,-0.1763335+0.7498857i,1.202955-0.156901i
-0.03094291-0.8303066i,0.03696448+2.339324i,1.112827-0.4451467i,-0.555394+0.09635805i,-0.8617507+0.2528606i,-0.2433395-0.133433i,-0.822824-1.214151i,-0.8358251-0.0611517i,0.6743143-1.788985i,1.26699-1.518613i,-0.2017453-0.8485906i,-0.9213864+0.23755i,-1.79369-0.1726715i,0.557504+0.9012928i,0.8098076+1.308481i,-0.05686387+1.899916i,-0.6623012-1.069899i,-1.361671+0.4536424i,0.03405355-0.6271456i,-0.02212144+1.029809i,0.1945724+0.1390109i,-0.3654935+1.255556i,0.4011819-1.178526i,0.2639677+0.191386i,0.8408957-0.7241538i,0.6660797+0.9768023i,-0.156047+0.4139846i,-0.283624-0.01333538i,-0.8217267+0.07804322i,-0.1862821+0.2433832i,-0.158147+0.4650702i,-0.9848588-0.35832i,0.9742409-0.3780061i,-1.227839+0.4001775i,-0.6535884-1.172003i,-0.4957241+0.009616257i,0.1610742-0.2086238i,0.1335803-0.1984407i,-0.4447938-0.6190015i,0.7605688+0.4043298i,-0.2016446-1.469335i,0.470083-0.4511016i,0.6809934-0.3034202i,-0.4596669-0.5477411i,1.404259-2.044538i,0.6743395-0.3400529i,0.9344017+0.5658166i,0.6104854-0.06442151i,0.03391808+0.8555722i,-0.3061484+0.5658605i,0.5980724-0.055676i,-0.9861652-1.319265i,-0.6284197+1.241612i,-0.801659-0.8415442i,1.122331+0.8157291i,-1.222557+0.2934114i,-0.1504932+0.1700949i,0.04653016+1.082865i,-0.05883452-1.041155i,0.5262754+0.02142866i,-0.8446864+1.014268i,0.1625597-1.414379i,-0.5607374-0.6571194i,-0.1359857-0.02677083i
0.07210822+2.043244i,-0.01967216+0.9555953i,-0.01266374+0.1710533i,0.2166605-1.005496i,0.715557-1.255623i,0.2904979+0.478441i,0.7519991-0.4303621i,1.481147-0.659429i,-0.5527789+0.02065268i,1.51054-0.2854833i,-0.4925859+0.5416464i,-0.8847008+1.601638i,0.6948328+0.6340731i,0.5817204+1.702201i,-0.4992574-0.5453336i,0.1653814+0.1626231i,-0.2697698-0.2498362i,-0.3171583+0.01769417i,-1.15677+0.1104083i,0.198546+0.03551617i,1.067008-0.09150978i,-0.03349552+0.6235572i,0.7773008-0.237097i,0.539221-0.5156195i,0.8925437-0.4773453i,-0.240455+1.551239i,0.1499065-0.1682381i,-0.5818571-0.6747673i,0.3252539-0.1723782i,-0.6668764-0.9242369i,-0.7347107-1.151907i,0.4685983-0.768353i,-0.6715733+0.3202229i,-0.3400971-0.07609448i,-0.2800426+0.1862977i,0.6252361-0.2773992i,-0.8431072+1.804487i,0.05985507+0.3687362i,0.4862897-0.06603988i,-0.2605193-0.4629394i,0.9118894-1.388719i,-0.9320318+0.1971225i,-0.1399817+0.8355027i,0.01468813+0.1727762i,-1.111318+0.686753i,-0.677359+0.7079454i,-0.4957718-0.9798358i,-0.3770663-0.3391543i,0.1831748-0.8976897i,-0.1475095+1.048056i,-0.261247-0.8360377i,-1.124322-1.552733i,0.05756033+0.6347785i,-0.3469429+0.4330713i,0.1440995+1.672106i,-0.3109421-0.8952006i,0.8745912+0.2135099i,0.3210636-0.1789515i,0.07668252-0.60677i,-0.7520761+0.07959825i,0.8076958-0.7793843i,-0.9560267+0.8056179i,-1.368505-1.256853i,-0.6078725-0.1005761i
-0.07021186-2.533391i,-0.2971144+1.585041i,-0.6707468+0.8417822i,-1.270695+0.6393077i,0.9413295-0.07259172i,0.3437908-0.3982366i,0.2644894+0.4622461i,-0.5927205-0.5818291i,0.3212718-0.1451137i,-0.1424017-0.37168i,-0.6190517-1.034336i,-0.08819872-0.5122659i,0.07839814+0.6045614i,0.06470449-0.9675881i,0.7217149+0.9184816i,-0.7781155+1.000639i,0.2432435+1.2387i,0.8549815-0.8786229i,0.8485419-0.1482835i,0.4763058+0.7684831i,-1.18703+0.04133995i,0.2139864-0.06336901i,-0.05962583+0.4029458i,-0.7714743+0.8782337i,-1.068065-0.4927603i,0.06955913-0.131123i,-0.6641273-0.2336611i,-0.7636893+0.003704099i,-0.7378674-0.7322442i,1.287956+0.9666857i,1.705498e-05-0.2270902i,0.1667029-0.3264115i,1.164993-0.08740313i,-0.3057724+1.163555i,-0.5690589+0.5059742i,0.03871508-0.9558526i,1.429837-0.07971417i,-0.05106946-0.9296824i,0.8559839-0.1826835i,0.7041292-0.4289526i,0.6073289-0.07464913i,-0.05385418+0.1731438i,0.3999471+0.009389742i,-0.548912-0.4420905i,1.20131+0.7688383i,0.6215448-0.04819868i,0.1598474-0.2020848i,1.148747-1.196728i,-0.1407264+0.05600881i,0.6414589+0.8081388i,0.136357+1.290702i,-0.620303-0.6598306i,0.5072636+0.7846956i,0.0855709-0.8790704i,-0.5471835-0.1041676i,-1.247585+0.526076i,0.575718+0.3510349i,0.1732701-0.2272413i,-0.3148226-0.9806453i,-0.220109+0.1137026i,1.528622+0.3775912i,-1.245132+0.320941i,0.5860968+0.07618494i,-0.4343069-0.1695292i
0.8152879-1.015434i,-0.4113496-0.2318763i,-0.3557599-0.6198549i,-0.6626+0.1959475i,0.3214727+0.851744i,-0.1787356+0.7217531i,-0.1316229-0.2096384i,-0.6214803-0.1816809i,-2.073329+0.2343333i,-0.9542947+0.5280859i,-0.5060167+1.319377i,-0.8534138-0.1014942i,-1.083401+0.2825904i,-0.2655155-0.6321219i,-1.263217+2.07016i,0.9305934+0.8639522i,-0.9404117-0.6087861i,0.3345873+0.01136054i,-1.192849-0.8958478i,0.02990851-1.664409i,-0.9080897+0.8439939i,-0.4781611-0.03132854i,-0.1257118-0.08874055i,-0.9514153-1.372962i,-0.8132948+0.4566559i,-0.4499283+0.2632416i,-0.8150594-1.285483i,-0.4312727+0.6517955i,0.4086743-2.005343i,-0.6908173+0.4443066i,-0.01841975+0.1350538i,0.451896+0.3644339i,-1.203767+1.030303i,-0.5814995-1.698952i,0.2249625+0.9168674i,0.8230446-0.289551i,0.767736-0.3219832i,-0.2306674+0.3738427i,-0.1455735+1.918502i,-0.6987067+1.223632i,-0.5040559+0.1105099i,0.730738-0.8237216i,0.31004+0.1065137i,0.09241498+0.537919i,0.1595259+0.3973194i,1.205968+0.17409i,-0.5953064+0.3253039i,-0.1199879-0.7659987i,-0.2527513+0.5161005i,-1.677274+0.2290738i,0.3638032-0.04367923i,0.1112744-0.6715674i,0.3464587+0.3529934i,0.7017426+0.3325749i,0.5775596+0.7658902i,0.7074686-0.8823122i,0.7858883+0.1983784i,-1.153888-1.226594i,-1.433606+0.689386i,-0.2576677+0.6996987i,-0.1999773-0.3228301i,-2.247137+1.52931i,0.7466334-0.5267052i,0.07402813+0.1881417i
-1.947561+2.04336i,-0.1152507-0.04549967i,-0.991753-0.5978225i,-0.114891+0.8022572i,0.6340669+0.6686764i,-0.1653393+0.3776071i,0.2898336+1.308461i,-0.2060903-0.3346504i,-1.370861+0.1408706i,-0.06244149-0.8653069i,0.4605066+0.6795011i,0.6543512-0.05004567i,1.009511+0.0449475i,0.1078461+0.3054597i,-0.3010823-0.002649088i,-0.5683105+0.821024i,0.5127257-0.6285799i,-0.4155098-0.1938484i,0.09136356+0.08842764i,0.1508697-1.024552i,-0.5640526-0.3642246i,0.628504+0.4706093i,0.8809593+0.3669913i,1.153612+0.08487994i,0.4127759+0.4362502i,0.135359-0.7109452i,-0.6418251-1.425318i,0.3324016-0.7207197i,0.5555409+0.2463731i,0.5389642+0.9376689i,0.7420303-0.960041i,0.214667+0.5020491i,-0.6858348-0.1916545i,0.0535311+0.7809169i,-0.9584174+1.281008i,0.401328-1.622999i,-0.8923783-0.5970629i,-0.4192096+0.6680337i,0.2044839+0.759522i,0.4164049-0.6543992i,-0.5252249-0.5446722i,-0.2201653+0.4473617i,0.5282066-0.6982342i,-0.7257559+0.2452841i,0.01342853-0.7300885i,-0.9927736+0.885039i,-0.04610932-1.053242i,-0.4159223-0.8735976i,-0.7970506-0.9235831i,-0.9196791-0.1356127i,-0.6601769+1.128767i,0.7597102-0.1800777i,0.4787324+0.3378701i,0.3601753-1.433003i,-0.4445736+0.880206i,-0.2573218-1.365379i,0.192408+0.01194856i,1.201034-0.1416645i,0.1230437+1.221047i,1.542931+0.1131854i,-0.5512115+0.2019314i,0.299735+0.5860653i,0.140373+0.3879505i,-0.9308984+0.8590919i
0.04133854-0.1659701i,0.3969771-0.8271306i,0.1197958-0.05737772i,0.6770215+0.1027696i,-0.5720134+1.291676i,-0.34399+0.4266916i,-0.6525216+0.2912642i,0.9537178+0.4800222i,1.355031-0.1709709i,1.000668-0.8106601i,0.158089+0.4566941i,-0.6377878+1.110464i,0.4386411-0.4300611i,1.060898-0.3632075i,-1.101827-0.264093i,-1.317507+0.3531063i,-1.45995-0.9069381i,0.6549519-0.537545i,-1.426312+0.9994906i,-0.0839472-0.2210203i,0.2627533-0.4848202i,-1.323984+0.01287696i,-0.4023424-1.024373i,-0.02159087-0.2147696i,-0.5226064+0.9350781i,-0.7005928-0.2427247i,-0.05095646+1.133671i,-0.8993469+0.860134i,-0.4661129-0.8944002i,-0.05346319+0.6471614i,0.5828339-0.4070943i,-0.09768955+1.040585i,0.6919304+1.132187i,-0.06340947-0.6767377i,0.6745391-0.7680082i,0.9366785+0.842655i,0.2039788-1.269775i,-0.1741522+0.1702628i,0.5628548-0.5197855i,-0.4359631-1.312343i,-0.2820227-0.6536179i,-0.2091689+0.04364008i,-0.1658768+0.06380061i,-0.4945137+1.045291i,0.8603011-1.449838i,-0.1699731+0.729686i,1.688014+0.4805025i,0.7725838+0.5199787i,-0.4442145+0.3593059i,-0.01617734+0.1855047i,0.495443-0.01893748i,0.05942232+1.051357i,0.1334853+0.476929i,-0.2428216+0.591199i,0.6122657+0.5247064i,-1.034931-0.8351089i,-1.146896-0.08941894i,-0.8559812+1.033652i,-1.752567+0.008751202i,-0.468505-1.345765i,0.2819552-0.186014i,-0.4490676+0.4311672i,-1.55644-0.01041916i,1.161304+0.07691581i
0.7572261+0.02004462i,-0.3496709+1.325942i,-0.4798457+0.4272898i,0.8734914+0.05441404i,-2.04588-0.4945426i,-0.2364492-0.4631927i,0.9393265+1.591444i,-0.8967561-0.6363225i,0.2568507+0.3825132i,-0.3758872-0.1513652i,0.1364128-0.841692i,-0.8020352+0.6106966i,1.052592-0.3139366i,0.2832248+0.1678185i,-0.2165791+0.3315233i,0.1541043+1.239276i,-0.7782012+0.02667614i,-0.1809781-0.3989466i,0.7827279+0.2042333i,0.250825-0.1173857i,-0.7054315+0.1254805i,0.9271+0.06216867i,-0.5734106+0.3928788i,-0.8360866+0.3086261i,-0.1798146-1.72175i,-1.028006-0.3168489i,-1.118064-1.332129i,0.319258-1.063843i,0.4435626+0.7239738i,0.3820145-0.6071889i,-0.5508984-0.05655687i,0.3715852+0.1702655i,0.2434749+0.9918271i,-1.221509+1.391789i,0.6955746-0.9744704i,0.02286811+1.223913i,1.032586+1.181198i,0.5471862-0.900648i,-0.5653974-0.5742966i,1.435342-1.407018i,0.889237-0.09375757i,-0.2832265+0.3363239i,0.5740877+0.6118357i,0.3505174-0.07254642i,0.3573692-0.04916709i,-0.5537627+0.3099255i,-0.1014574-0.01555338i,0.8293434+0.2736704i,-0.7441301+0.648303i,-0.04296803+0.5246347i,0.7491344+0.2480037i,0.7545817+0.3362923i,-0.8782485+0.421822i,-0.1774079-0.4361283i,0.2632538+0.2999308i,-0.2531444+0.9279874i,0.4397182+0.07504163i,-0.4271285-0.7809172i,0.5130843-0.9593939i,0.2188725+0.3682648i,0.05685985-0.02745098i,-0.4885081-0.9704716i,0.5368841-0.3039977i,-0.3518748+0.462768i
